title,prerequisites,description,is_project_based,languages,is_spring_26,url,days (spring 26),times (spring 26),location (spring 26),professor (spring 26)
COMP_SCI 341: Social Networks Analysis (CS 341-SA),The course has no formal pre-requisites but will be most beneficial to students who have had an introductory statistics course,"The use of social network analysis to understand the growing connecGvity and complexity in the world around us on different scales, ranging from small groups to the World Wide Web. How we create social, economic, and technological networks, and how they enable and constrain a^tudes and behaviors. This course is an MS elective for Industrial Engineering. Restricted to students participating in Northwestern study abroad programs Cross-listed with IEMS 341-SA & Comm_St 352-SA. Formerly Comp_Sci 396 - last offer was Summer 2023 This course satisfies CS Technical Elective. COURSE COORDINATORS: Noshir Contractor COURSE INSTRUCTOR : Prof. Contractor",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/341-sa.html,,,,
COMP_SCI 331: Introduction to Computational Photography,Prerequisites: 150 or 211 or 230 or Permission by Instructor,"This course teaches the fundamentals of modern camera architectures and computational imaging systems. It gives students a hands-on experience in characterizing, manipulating and acquiring data captured on modern camera platforms. For example, students will learn how to estimate scene depth from a sequence of captured images or program their own high dynamic range imaging algorithm. This course is part of  a two-part series that explores the emerging new field of Computational Photography. Computational photography combines ideas in computer vision, computer graphics, technical optics, and image processing. This course will first cover the fundamentals of image sensing and modern cameras. We will then use this as a basis to explore recent topics in computational photography such as motion/defocus deblurring cameras, light field cameras, and computational illumination. This course will consist of six homework assignments implemented in Python using the Jupyter Notebook framework. There will be no midterm or final exam. Enrollment is limited to 40 students. This course fulfills the Interfaces Breadth & Project Course requirement. COURSE COORDINATOR : Prof. Oliver Cossairt COURSE INSTRUCTOR: Prof. Florian Schiffers HOMEWORK ASSIGNMENTS: Homework assignments will consist of implementing several computational photography algorithms in Python using the Jupyter Notebook framework. Homeworks are each graded Pass/Fail. Each homework consists of a coding and a technical writeup. Your coding must be correct, and your writeup must be clearly written (template will be provided) in order to receive a passing grade. For each assignment that you fail, your grade gets lowered by one letter. So if you pass all seven assignments you get an A, if you fail one assignment you get a B, if you fail two you get a C, and so on. You can resubmit up to three homework assignments that you received a failing grade for. ADDITONAL INFORMATION: Course website from Fall 2020: https://nucs331.github.io/",1,Python,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/331.html,,,,
COMP_SCI 351-2: Intermediate Computer Graphics,COMP_SCI 351-1 Intro. to Comp. Graphics or equiv.(askâyou may already know enough!),"Second in a 3-course series on the methods and theory of computer graphics, this project-oriented course explores how to describe shapes, movement, and lighting effects beyond the built-in abilities of WebGL. It includes interactive particle systems, simple rigid-body dynamics, explicit and implicit dynamics solvers (suitable for smoke, simple fluids and cloth) and an introduction to ray tracing (chrome, glass, and diffraction) with a few basic ideas for global illumination. This course satisfies the Technical Elective & the Project Requirement. COURSE GOALS: Comfort and ease creating visually accurate interactive non-polygonal objects such as smoke, fire, cloth, sand, ropes, with multi-bounce computed light transport via ray-tracing. DETAILED COURSE TOPICS: The course has just two topics, but they are very broad: A. Particles and Movement: 1) Abandon triangle meshes to make 'shapeless' shapes (fireworks, swarms of bees, rain, snow, grass, etc.) from clouds of particles.  How close can we get to modeling each particle in a cloud of steam?  2) Moving particles coupled together can simulate many interesting materials (rope, water, smoke, cloth, etc.). We'll explore both 'explicit' and 'implicit' solvers that make soft things move and behave realistically in mass-aggregate systems, combined with basic collision detection and rigid-body dynamics. B. Light Done Right: we'll learn ray tracing, BRDFs and light units, extended light sources (soft shadows), and some basic global illumination ideas. You will make pictures that look much more like photographs than drawings, with shadows, chrome reflections, transparency, and complex surfaces. GRADES: 4 ‘reading’ quizzes, 2 progressively-graded projects with Demo Days and written project reports. No midterm exam, no final exam. COURSE COORDINATOR : Prof. Jack Tumblin COURSE INSTRUCTOR: Prof. Tumblin COMPUTER USAGE: Yes, required. WebGL usage builds on COMP_SCI 351-1 REQUIRED TEXTBOOK : "" Foundations of Physically-Based Modeling and Animation"" © 2017, Donald H. House and John C. Keyser; AK Peters / CRC Press. Note: available as hard-cover or as Kindle Edition (both cost $56). REFERENCE TEXTBOOKS: “Game Physics-Engine Development” 2nd Ed.(2010), Ian Millington, CRC Press (former course text) “Fluid Simulation for Computer Graphics” by Robert Bridson (c)2008 AK Peters. “Game Physics Pearls” Gino van den Bergen, Dirk Gregorius (Eds.) (c)2010 AK Peters. SIGGRAPH/Pixar Short Course Notes “Particle Dynamics” by Witkin, Baraff. Handouts and misc. PDF documents written by instructor and others LABORATORY PROJECTS: CS352 is a project-oriented course: lectures and reading are important, but for a deep and genuine understanding of computer graphics methods you really need to write some code and make some pictures of your own.  Step-by-step, week-by-week, you will build two large programming projects that make astonishing pictures and animations.",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/351-2.html,,,,
"COMP_SCI 396, 496: Pragmatics of Programming Languages",Instructor consent,"This course examines how the syntax, statics and dynamics of a programming language affect its pragmatics. By implementing increasingly more complex (models of) languages, students will  investigate the path that connects Fortran, Java, Javascript and Typescript. That is, they will study the evolution from imperative languages to object-oriented languages to languages that mix typed and untyped components. Along the way, they will analyze the trade-off  between the complexity of each language and what it offers to developers. Students are assumed to be knowledgeable about interpreters and operational semantics. This course fulfills the Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A RECOMMENDED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Christos Dimoulas COURSE INSTRUCTOR: Prof. Christos Dimoulas",0,"Java, JavaScript, TypeScript",0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-27.html,,,,
COMP_SCI 439: Advanced Database Systems,CS 339 or permission of instructor,"This course will provide a comprehensive overview of the internals of modern database management systems (DBMSs), specifically focusing on the core concepts behind online analytical query processing (OLAP). It is intended for graduate and advanced undergraduate students interested in systems research. Students will learn how to: (1) read and evaluate systems research papers, with emphasis on constructive criticism; (2) identify tradeoffs and justify design decisions related to the architecture of an OLAP DBMS; (3) craft and deliver presentations that distill core research ideas; and (4) plan and execute a final project that answers an interesting systems research question. Pre-Requisites: The student is expected to have taken an introductory database systems course like CS339 or equivalent. Formerly Comp_Sci 497 - last offer was Spring 2025 This course fulfills the Project or Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Andrew Crotty COURSE INSTRUCTOR: Andrew Crotty",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/439.html,,,,
COMP_SCI 496: Learning in Networks,Instructor consent,"This is a graduate topics course on learning in networks, focusing in particular on fundamental statistical and computational limits. Topics include the planted clique problem, community detection, high-dimensional random geometric graphs, root-finding algorithms, graph matching, information-computation gaps, and more. While exploring these topics, we will discuss several general techniques that are applicable more broadly, such as the first and second moment methods, concentration inequalities, martingales, branching processes, information-theoretic methods, spectral algorithms, and more. This course fulfills CS Technical Elective area REQUIRED TEXTBOOK: N/A REFERENCE TEXTBOOKS: There are no required textbooks. The course will combine material from a number of recent lecture notes and surveys, as well as recent research papers. These include (all freely available online): Yihong Wu and Jiaming Xu. Statistical inference on graphs: Selected Topics. Lecture notes, 2023. — lecture notes for similar courses at Duke and Yale Miklos Z. Racz and Sebastien Bubeck. Basic models and questions in statistical network analysis. Statistics Surveys, 11:1–47, 2017. Gabor Lugosi. Lectures on Combinatorial Statistics. Saint-Flour lecture notes, 2017. Emmanuel Abbe. Community Detection and Stochastic Block Models: Recent Developments. Journal of Machine Learning Research, 18:1–86, 2018. COURSE COORDINATORS: Prof. Miklos Z. Racz COURSE INSTRUCTOR: Prof. Miklos Z. Racz COURSE GOALS: The goals of the course are three-fold: (1) to give an overview of recent research progress in the area; (2) to highlight ideas and techniques that are broadly useful, enriching students’ technical tool box; and (3) to highlight open problems and create excitement about future research in the area.",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-36.html,,,,
COMP_SCI 303: Full Stack Software Engineering,(COMP_SCI 213 and COMP_SCI 304-0) or Instructor Consent for CS MS or CS PhD,"Modern software frameworks such as Next.js, Django, and Spring Boot provide the foundational components to quickly develop and deploy full-stack software applications. These frameworks, which are reusable abstractions of code wrapped in well-defined Application Programming Interfaces (APIs), provide several benefits for software developers, such as easier development and maintenance, standardization and compatibility, improved security, increased productivity, and easier collaboration. In this course we will explore one of these frameworks to create, iteratively refine, and deploy a real-world application. Formerly Comp_Sci 396 - last offer was Spring 2024 This course fulfills the Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Tse Lydia COURSE INSTRUCTOR: Prof. Tse Lydia",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/303.html,,,,
"COMP_SCI 362, 462: Foundations of Quantum Computing and Quantum Information",See below for more detail.,"This course will be an introduction to the theory of quantum computation from a computer science perspective. Quantum computing holds great promise for obtaining substantial computational improvements over classical computing for many problems.  In this course, we will cover the basics of quantum computation, and different topics that explore both the capabilities and limitations of quantum computers.  Topics will include (subject to change) the basics of quantum information, quantum circuits, quantum algorithms, quantum complexity theory, quantum query complexity, and quantum communication complexity. No knowledge of quantum mechanics is required. We will cover the necessary physics concepts that are needed for this course. PREREQUISITE: CS 336 or CS 335 or equivalent. Instructor permission required otherwise. A strong undergraduate background in linear algebra, and some familiarity with discrete probability is encouraged. * Undergrad CS 262 or CS 335 or CS 336 * CS Graduate standing:CS 335 or CS 336 Formerly Comp_Sci 396/496 - last offer was Winter 2024 This course fulfills Technical Elective area. REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Aravindan Vijayaraghavan & Prof. Kaitlin Smith COURSE INSTRUCTOR : Prof. Aravindan Vijayaraghavan & Prof. Kaitlin Smith",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/362-462.html,,,,
COMP_SCI 302: Artificial Life,CS 349 or MS CS or PhDs CS,"This course introduces students to the growing field of Artificial Life: the study of “life as it could be” rather than as it happened to unfold on Earth. We will address fundamental questions about what distinguishes life from matter; the conditions in which complex adaptive systems may arise and how they may be shaped to suit our needs; as well as whether or not there can even be a science of the artificial. Answers to these questions are of interest as a basic intellectual pursuit, but they may also lead to useful computational, mechanical, chemical and biological technologies. Learning Objectives: In this course, students will explore software, hardware, and wetware approaches to Artificial Life. Through weekly readings and the use of bio/physical computer simulations, students will learn how to model, predict, design, manufacture, and control artificial living systems such as virtual creatures, physical robots, and biological machines. This course fulfills the CS Technical Elective requirement. Cross-listed with Chem_Eng 395 & Mech_Eng 495. REQUIRED TEXTBOOK: None REFERENCE TEXTBOOKS: None COURSE COORDINATORS: Sam Kriegman COURSE INSTRUCTOR: Sam Kriegman",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/302.html,,,,
COMP_SCI 397: Seminar in Statistical Language Modeling,CS-349 (or equivalent) and intermediate Python,"Statistical language models assign probabilities to sequences of words, and are used in systems that perform text summarization, machine translation, question answering, information extraction, text generation (dialogue system) and many other tasks. In recent years, language models based on deep neural networks have dramatically improved the state of the art. This course will cover the fundamental technologies comprising statistical language models, such as word embedding methods, recurrent neural networks and transformers, and selected natural language processing tasks by reading canonical research papers that helped define the field. Students will be required to read and present research papers and to complete a substantial research project. This is a research-focused class, with several groups submitting papers to major conferences in the past. TEXTBOOK: None (the class consists of reading/presenting research papers) COMPUTER USAGE: Python, PyTorch, GPUs and Huggingface codebase GRADING: A/B/C COURSE INSTRUCTOR: David Demeter COURSE COORDINATOR: David Demeter",1,Python,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-1.html,,,,
